,species,lat,long
1667,"Phlebotomus Rondani & Berté, 1840",33.77,76.57
1668,"Phlebotomus argentipes Annandale & Brunetti, 1908",33.31,75.76
1669,"Phlebotomus salehi Mesghali, 1965",33.31,75.76
1670,"Phlebotomus bergeroti Parrot, 1934",33.31,75.76
1671,"Phlebotomus longiductus Parrot, 1928",33.31,75.76
1672,"Phlebotomus Rondani & Berté, 1840",33.31,75.77
1674,"Phlebotomus duboscqi Neveu-Lemaire, 1906",33.31,75.76
1675,"Phlebotomus mascittii Grassi, 1908",45.4871,13.8187
1676,"Phlebotomus mascittii Grassi, 1908",45.5005,13.6586
1678,"Phlebotomus mascittii Grassi, 1908",45.5094,13.9001
1695,"Phlebotomus eleanorae Sinton, 1931",26.84,80.94
1696,"Phlebotomus sergenti Parrot, 1917",26.84,80.94
1700,"Phlebotomus chinensis Newstead, 1916",27.17,78
1701,"Phlebotomus sergenti Parrot, 1917",27.17,78
1702,"Phlebotomus Rondani & Berté, 1840",33.04,75.62
